Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/02/2024,07:00,N,LZ_RAYBN,25.84
05/02/2024,07:00,N,LZ_SOUTH,26.42
05/02/2024,07:00,N,LZ_WEST,40.49
05/02/2024,08:00,N,HB_BUSAVG,22
05/02/2024,08:00,N,HB_HOUSTON,21.86
05/02/2024,08:00,N,HB_HUBAVG,22.34
05/02/2024,08:00,N,HB_NORTH,21.69
05/02/2024,08:00,N,HB_PAN,17.94
05/02/2024,08:00,N,HB_SOUTH,21.52
05/02/2024,08:00,N,HB_WEST,24.27
05/02/2024,08:00,N,LZ_AEN,22.55
05/02/2024,08:00,N,LZ_CPS,23.71
05/02/2024,08:00,N,LZ_HOUSTON,22.01
05/02/2024,08:00,N,LZ_LCRA,22.85
05/02/2024,08:00,N,LZ_NORTH,21.72
05/02/2024,08:00,N,LZ_RAYBN,21.62
05/02/2024,08:00,N,LZ_SOUTH,21.75
05/02/2024,08:00,N,LZ_WEST,32.49
05/02/2024,09:00,N,HB_BUSAVG,15.18
05/02/2024,09:00,N,HB_HOUSTON,15.54
05/02/2024,09:00,N,HB_HUBAVG,15.24
05/02/2024,09:00,N,HB_NORTH,15.30
05/02/2024,09:00,N,HB_PAN,12.46
05/02/2024,09:00,N,HB_SOUTH,14.39
05/02/2024,09:00,N,HB_WEST,15.71
05/02/2024,09:00,N,LZ_AEN,16.47
05/02/2024,09:00,N,LZ_CPS,16.69
05/02/2024,09:00,N,LZ_HOUSTON,15.70
05/02/2024,09:00,N,LZ_LCRA,16.53
05/02/2024,09:00,N,LZ_NORTH,15.35
05/02/2024,09:00,N,LZ_RAYBN,15.28
05/02/2024,09:00,N,LZ_SOUTH,14.31
05/02/2024,09:00,N,LZ_WEST,17.56
05/02/2024,10:00,N,HB_BUSAVG,12.61
05/02/2024,10:00,N,HB_HOUSTON,14.98
05/02/2024,10:00,N,HB_HUBAVG,12.98
05/02/2024,10:00,N,HB_NORTH,12.01
05/02/2024,10:00,N,HB_PAN,9.88
05/02/2024,10:00,N,HB_SOUTH,12.76
05/02/2024,10:00,N,HB_WEST,12.17
05/02/2024,10:00,N,LZ_AEN,15.78
05/02/2024,10:00,N,LZ_CPS,15.09
05/02/2024,10:00,N,LZ_HOUSTON,15.24
05/02/2024,10:00,N,LZ_LCRA,15.54
05/02/2024,10:00,N,LZ_NORTH,12.32
